Side1,Side2
Lagerzunahme (Warenkonten),Warenvorrat / Warenaufwand
Lagerabnahme (Warenkonten),Warenaufwand / Warenvorrat
"Rechnung von Lieferanten inkl. 7.7% MwSt. – NICHT Investitionen (1. Buchungssatz)","WaA / VLL"
"Rechnung von Lieferanten inkl. 7.7% MwSt. – NICHT Investitionen (2. Buchungssatz – Vorsteuer)","Vorst. 1170 / VLL"
"Rechnung von Lieferanten inkl. 7.7% MwSt. – INVESTITIONEN (1. Buchungssatz)","WaA / VLL"
"Rechnung von Lieferanten inkl. 7.7% MwSt. – INVESTITIONEN (2. Buchungssatz – Vorsteuer)","Vorst. 1177 / VLL"
"Rechnung an Kunden inkl. MwSt. (1. Buchungssatz – Warenertrag)","FLL / WaE"
"Rechnung an Kunden inkl. MwSt. (2. Buchungssatz – MwSt)","FLL / Verb. MwSt."
Verrechnung der MwSt.,Verb. MwSt. / Vorst. 1170
Banküberweisung der MwSt.,Verb. MwSt. / Bank
"Kapitalerträge und VST – Bruttomethode (1. Buchungssatz)","Bank / Finanzertrag  (100%)"
"Kapitalerträge und VST – Bruttomethode (2. Buchungssatz – VST)","Ford. VST / Bank  (35%)"
"Kapitalerträge und VST – Nettomethode (1. Buchungssatz)","Bank / Finanzertrag  (65%)"
"Kapitalerträge und VST – Nettomethode (2. Buchungssatz – VST)","Ford. VST / Finanzertrag  (35%)"
"Forderung entsteht (Delkredere)","FLL / WaE"
"Kunde zahlt nicht (Delkredere)","Kein Buchungssatz"
"3. Mahnung mit Verzugszins (Delkredere)","FLL / FinanzE"
"Start Betreibungsverfahren (Delkredere)","FLL / Kasse"
"Konkursdividende – Verfahren wird abgeschlossen","Post / FLL"
"Verlustschein – Verfahren wird abgeschlossen","Verl. Ford. / FLL"
"Nachträgliche Bezahlung – im gleichen Rechnungsjahr","Bank / Verl. Ford."
"Nachträgliche Bezahlung – späteres Rechnungsjahr","Bank / A.o. E"
"Bildung Wertberichtigung Forderungen (Delkredere)","Verl. Ford. / WB Ford."
"WB Forderungen verkleinern (Delkredere)","WB Ford. / Verl. Ford."
Abschreibung direkt,Abs / Mob
Abschreibung indirekt,Abs / WB Mob
"Verkaufserlös – Verkauf von AV (direkte Methode)","Kasse / Mob"
"Veräusserungsverlust – Verkauf von AV (direkte Methode)","a.o. A / Mob"
"(Veräusserungsgewinn) – Verkauf von AV (direkte Methode)","(Mob / a.o. E)"
"Verkaufserlös – Verkauf von AV (indirekte Methode)","Kasse / Mob"
"Auflösung WB – Verkauf von AV (indirekte Methode)","WB Mob / Mob"
"Veräusserungsverlust – Verkauf von AV (indirekte Methode)","a.o. A / Mob"
"(Veräusserungsgewinn) – Verkauf von AV (indirekte Methode)","(Mob / a.o. E)"
Bildung Rückstellung,A.o. Aufwand / Rückstellung Prozess
Abschluss Konto Rückstellung,Rückstellung Prozess / SB
Zahlung Anwaltskosten (Rückstellung),Rückstellung Prozess / Bank
Anpassung Rückstellung,A.o. Aufwand / Rückstellung Prozess
"Geldguthaben (Abgrenzungen)","Aktiv Ra / (Aufwand oder Ertrag)"
"Leistungsguthaben (Abgrenzungen)","Aktiv Ra / (Aufwand oder Ertrag)"
"Geldschuld (Abgrenzungen)","(Aufwand oder Ertrag) / Passiv Ra"
"Leistungsschuld (Abgrenzungen)","(Aufwand oder Ertrag) / Passiv Ra"
